开发	334.43448352
熟悉	276.95366782
经验	247.362459557
工作	229.040746914
设计	220.494681916
相关	207.821369668
能力	200.826764747
负责	192.217713192
嵌入式	192.169810164
产品	172.390877192
linux	169.35955558
系统	162.174301761
硬件	161.241842773
优先	160.34985034
具有	149.490677421
良好	142.026472837
要求	138.72597898
编程	137.232642139
软件	135.329956082
调试	135.200556937
技术	131.724385612
以上	130.651578811
编写	129.483607116
测试	125.148071309
完成	122.656193207
文档	121.047851766
项目	119.789577433
专业	118.182671802
精通	118.102543189
驱动	110.969390985
任职	110.262840355
电子	110.236662044
arm	109.342149416
单片机	109.334719546
嵌入式软件	108.912746312
岗位职责	108.414586427
以上学历	107.758011514
进行	107.65925724
公司	106.072173159
熟练	105.468373179
使用	101.414988564
团队	100.803560078
计算机	98.9622409105
具备	97.4895103942
软件开发	93.7713938479
沟通	89.5277950434
应用	88.9519462534
本科	88.2900295807
分析	86.4906870939
需求	85.2153085084
通信	83.2427086476
学习	82.7021181927
了解	81.1571778769
平台	80.5429252077
研发	79.3975638707
独立	78.3145063196
电路	77.4848294298
自动化	77.4194105736
熟练掌握	76.543253783
精神	76.4024929708
合作	75.9534106546
根据	75.5396397811
参与	74.0904898738
c语言	73.865803715
能够	73.7422773041
工程师	72.3020188832
语言	72.2566917677
协议	72.0030868598
一定	71.094642435
维护	69.4259886152
代码	69.0082379108
岗位	67.6041165835
问题	65.9133858981
模块	65.6270749725
pcb	65.5567946504
员工	64.6452986334
常用	63.5798460476
基础	61.3943300388
以及	61.1551625323
环境	59.1794098601
提供	57.1523564471
操作系统	56.3149931968
原理图	56.1014933037
职位	55.74654228
设备	55.2204804761
原理	55.1818848899
掌握	55.0984256019
流程	55.007426636
较强	54.2491357705
移植	54.0949711445
考虑	54.0357853026
接口	53.9173489924
责任心	53.0135177828
架构	52.6512666099
dsp	51.3984048398
功能	50.8795309052
实现	50.8273611475
stm32	50.3830721583
解决	49.9876086781
通讯	49.5867361878
产品开发	49.4011440466
方案	48.4726885891
知识	48.2064846062
基于	48.1567429587
阅读	48.0560317877
各种	47.7831610118
电路设计	47.6183143571
至少	47.3204084774
底层	47.0796921274
协作	46.8269606008
优化	46.7774789048
内核	46.7028269439
大专	46.2652368149
英文	46.1266829068
芯片	46.1124121647
协助	45.7786090658
网络	45.5063660049
系列	44.6118118577
配合	44.3484463836
一种	44.3414436256
spi	44.2728025328
行业	43.9017815416
其他	43.8037594993
福利	43.6045896998
控制	43.5306746675
工具	43.186319132
模拟	43.0080600843
任务	42.9253804689
从事	42.532147438
tcp	42.5148038154
规范	42.4612162948
编码	42.3045777565
嵌入式操作系统	41.6729193109
数字电路	41.3111132177
算法	41.0292068189
ip	40.4632220844
过程	40.3687404313
意识	40.3448248637
习惯	40.3400587215
专业本科	40.1272317368
软件设计	39.069003162
驱动程序	38.9991988049
双休	38.9270046767
管理	38.8527684675
善于	38.3195315592
五险	37.7427888057
资格	37.4012798808
英语	37.3472159622
android	37.3122890765
客户	37.0533304661
处理器	36.9766616243
时间	36.9201622671
i2c	36.9024694811
或者	36.7787265922
实际	36.5238367633
智能	36.3514571862
解决问题	35.9336564789
理解	35.4939834532
详细	35.4600672072
一金	35.4593185461
usb	35.4156987803
法定	35.3210586528
软硬件	35.1485484643
培训	35.1354469932
can	35.1134195589
节假日	34.9552966725
制定	34.8538641488
mcu	34.8344126482
wifi	34.7412079617
待遇	34.6069850055
程序	34.2304989741
00	33.5489519587
程序开发	32.8678249429
带薪	32.7863685271
验证	32.6430590039
工程	32.4691875047
fpga	32.3034291966
毕业生	32.1000392609
描述	31.9425201433
uart	31.9102261423
资料	31.7897526316
撰写	31.719177574
计算机相关	31.4351570575
生产	31.4316380491
毕业	31.1847328495
发展	31.1665730745
基本	31.0696396472
技术支持	31.0039704906
扎实	30.9973729843
总线	30.8107759607
协调	30.341216189
编程语言	29.746079734
优秀	29.2989389489
面试	29.259594343
福利待遇	28.5499235609
相应	28.314507668
包括	28.0607366844
软件工程	27.950434542
ucos	27.5921414459
选型	27.5101357752
压力	27.2615754945
数据结构	27.1157647688
三年	26.9658886011
蓝牙	26.8954475049
cortex	26.7694573841
热爱	26.6816781608
编制	26.5297753858
丰富	26.5075434408
电子信息	26.4611835645
快速	26.3323736198
处理	26.2067306152
联网	26.1387944254
薪资	26.1149950477
系统软件	26.0714473027
程序设计	26.005015176
逻辑思维	25.9849260615
职责	25.8961702502
性能	25.8469472424
java	25.8101138589
外设	25.7860400563
两年	25.7407218339
方法	25.5819850609
质量	25.552880297
我们	25.5341842549
集成	25.5061803568
可以	25.3037371662
投递	25.2095407905
按照	24.8866954981
薪酬	24.7255708807
周末	24.6468191921
承担	24.6266078848
外围	24.4350543755
应届	24.4206838892
部门	24.4164502776
方案设计	24.4013334325
欢迎	24.3165372464
通信协议	24.3115684339
protel	24.2635698726
应用软件	24.0565019835
国家	23.9833525773
编译	23.7327596984
活动	23.58358962
汽车	23.418506194
完善	23.3299528716
态度	23.307389776
keil	23.2402712193
改进	23.1951675637
学历	23.1219309195
qt	23.0172419689
运用	22.9700337355
主要	22.9645783238
产品设计	22.9483049646
地点	22.9308562667
开发工具	22.8831402714
方面	22.7759915067
体系	22.7735052852
指导	22.728776682
一年	22.5947437121
固件	22.5572241468
电气	22.5441361906
技能	22.4644054546
团队精神	22.4596009882
it	22.1705865542
风格	22.1213909565
研究	22.0628231717
51	21.9975379969
硕士	21.9236198807
逻辑	21.856239991
器件	21.5393512543
文件	21.475681682
汇编语言	21.293992547
条件	21.2618290129
组织	21.2584609876
