开发	335.228375946
熟悉	277.563672039
经验	247.929099141
工作	229.700821227
设计	220.939960508
相关	208.328510599
能力	201.456411789
负责	192.654420234
嵌入式	192.567069791
产品	172.77909188
linux	169.755975736
系统	162.392526186
硬件	161.684004565
优先	160.748755524
具有	149.84072749
良好	142.538008117
要求	139.094137666
编程	137.473470657
软件	135.625677711
调试	135.50431078
技术	132.187822532
以上	130.987933321
编写	129.689054455
测试	125.509166645
完成	122.825956958
文档	121.323447115
项目	120.18940827
专业	118.532988592
精通	118.413320813
驱动	111.337491885
任职	110.56557373
电子	110.532214977
单片机	109.655261143
arm	109.604324078
嵌入式软件	109.080586564
岗位职责	108.696252666
进行	108.03287383
以上学历	108.016739878
公司	106.531019232
熟练	105.64820894
使用	101.656382915
团队	101.174230908
计算机	99.2429253439
具备	97.6651266082
软件开发	94.0374313499
沟通	89.8669434303
应用	89.0217259635
本科	88.4141662039
分析	86.6390730605
需求	85.3763354701
通信	83.5491716386
学习	83.0391988255
了解	81.4662709368
平台	80.8085290572
研发	79.5641071543
独立	78.4881261883
电路	77.62404427
自动化	77.6008064619
精神	76.665294578
熟练掌握	76.6430776212
合作	76.1960433343
根据	75.6645780773
参与	74.2759131729
c语言	73.9974385547
能够	73.9064158128
工程师	72.6753042684
语言	72.3802952818
协议	72.1849271256
较强	72.0554505684
一定	71.1618518696
维护	69.5513095331
代码	69.2356155182
岗位	67.9068373033
问题	66.0839393578
模块	65.8906658007
pcb	65.7747483911
员工	65.0293854109
常用	63.8020983313
基础	61.522553539
以及	61.3026095897
环境	59.3218702744
提供	57.4693845215
操作系统	56.4324105033
原理图	56.2073361702
职位	55.9759233476
设备	55.4849465177
原理	55.3228076173
掌握	55.2329761801
流程	55.1781293289
考虑	54.2439859578
移植	54.2197629093
接口	53.9400366189
责任心	53.159588432
架构	52.7251629444
dsp	51.4845048347
功能	51.0040600925
实现	50.9151279604
stm32	50.4652691788
解决	50.1337598246
通讯	49.6559330034
产品开发	49.4519876306
方案	48.5421116647
基于	48.2724376085
知识	48.2500708372
阅读	48.115146243
各种	47.8215055414
电路设计	47.7312540796
至少	47.5072627034
底层	47.1466633948
协作	46.9377231225
内核	46.8907165785
优化	46.8864680371
大专	46.4364462787
芯片	46.2511512487
英文	46.1905456978
协助	45.8689762383
网络	45.6703245162
系列	44.7358329268
配合	44.5529153158
一种	44.4483065935
spi	44.3985607737
行业	44.1213767081
其他	43.9471120276
福利	43.9177659129
控制	43.595153273
工具	43.2595774307
模拟	43.0571297484
任务	43.0560297479
从事	42.6159295816
规范	42.6064171952
tcp	42.588768466
编码	42.4288401811
嵌入式操作系统	41.7725301678
数字电路	41.3534785778
算法	41.0734019073
ip	40.534233744
过程	40.4732611756
意识	40.4228108029
习惯	40.4196697048
专业本科	40.2398623456
双休	39.2459586247
软件设计	39.1196552363
驱动程序	39.1045695968
管理	39.0858564622
善于	38.5301341871
五险	38.3167003012
资格	37.5259080488
android	37.4145938397
英语	37.3298273552
时间	37.1838375038
客户	37.0909088602
处理器	37.0473855719
i2c	37.0221001545
或者	36.9051294252
实际	36.6213195599
智能	36.4184151649
解决问题	36.0068648176
一金	35.954479762
法定	35.589210602
理解	35.5633440691
详细	35.532007382
usb	35.485589076
培训	35.3847735002
can	35.2615250469
软硬件	35.2252805012
节假日	35.212969319
mcu	35.1016731155
待遇	34.9330469741
制定	34.9329978709
wifi	34.8134795
程序	34.2927009554
00	34.0209205319
带薪	33.0003049346
程序开发	32.962182489
验证	32.723732498
工程	32.5502692738
fpga	32.3500721157
毕业生	32.3212112152
描述	32.0445654637
uart	31.9991111528
撰写	31.8913108491
资料	31.86219577
计算机相关	31.5208418554
生产	31.519989389
发展	31.3465553581
毕业	31.2523859785
基本	31.1836172233
技术支持	31.0510310933
扎实	31.0180467715
总线	30.9485054871
协调	30.4513353932
编程语言	29.8677446725
面试	29.4401933483
优秀	29.3983709713
福利待遇	28.7051700018
相应	28.3854387268
包括	28.1293579116
软件工程	27.9990088228
ucos	27.6256756728
选型	27.5398559109
压力	27.3042069223
数据结构	27.170022884
三年	27.0351792922
蓝牙	27.0075329947
cortex	26.8228492478
热爱	26.8032782374
电子信息	26.5934983976
丰富	26.5862546468
编制	26.5730508853
快速	26.4089118033
薪资	26.3012595122
联网	26.287857111
处理	26.245273104
系统软件	26.1504503183
逻辑思维	26.1261977995
程序设计	26.0562865513
职责	25.927245692
java	25.8913776971
性能	25.8710356861
外设	25.856456551
两年	25.7976145346
方法	25.6550651854
我们	25.6538000294
质量	25.6384434088
集成	25.5513521865
可以	25.4226494201
投递	25.3766447475
按照	24.9156925709
薪酬	24.9002966141
